GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,B69AA1970,B69AA1980,B69AA1990,B69AA2000,B69AA125,B69AA125M,B69AB1970,B69AB1980,B69AB1990,B69AB2000,B69AB125,B69AB125M,B69AC1970,B69AC1980,B69AC1990,B69AC2000,B69AC125,B69AC125M,B70AA1980,B70AA1990,B70AA2000,B70AA125,B70AA125M,B70AB1980,B70AB1990,B70AB2000,B70AB125,B70AB125M,B70AC1980,B70AC1990,B70AC2000,B70AC125,B70AC125M,B70AD1980,B70AD1990,B70AD2000,B70AD125,B70AD125M,B70AE1980,B70AE1990,B70AE2000,B70AE125,B70AE125M,B70AF1980,B70AF1990,B70AF2000,B70AF125,B70AF125M,B70AG1980,B70AG1990,B70AG2000,B70AG125,B70AG125M,B70AH1980,B70AH1990,B70AH2000,B70AH125,B70AH125M,B70AI1980,B70AI1990,B70AI2000,B70AI125,B70AI125M,B70AJ1980,B70AJ1990,B70AJ2000,B70AJ125,B70AJ125M,B37AA1970,B37AA1980,B37AA1990,B37AA2000,B37AA2010,B37AB1970,B37AB1980,B37AB1990,B37AB2000,B37AB2010
GIS Join Match Code,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,NHGIS Integrated County Name,FIPS County Code,NHGIS Integrated County Code,1970: Persons: 25 years and over ~ Less than 9th grade,1980: Persons: 25 years and over ~ Less than 9th grade,1990: Persons: 25 years and over ~ Less than 9th grade,2000: Persons: 25 years and over ~ Less than 9th grade,2008-2012: Persons: 25 years and over ~ Less than 9th grade,Margin of error: 2008-2012: Persons: 25 years and over ~ Less than 9th grade,1970: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),1980: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),1990: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),2000: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),2008-2012: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),Margin of error: 2008-2012: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),1970: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),1980: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),1990: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),2000: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),2008-2012: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),Margin of error: 2008-2012: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),"1980: Households: Income less than $10,000","1990: Households: Income less than $10,000","2000: Households: Income less than $10,000","2008-2012: Households: Income less than $10,000","Margin of error: 2008-2012: Households: Income less than $10,000","1980: Households: Income $10,000 to $14,999","1990: Households: Income $10,000 to $14,999","2000: Households: Income $10,000 to $14,999","2008-2012: Households: Income $10,000 to $14,999","Margin of error: 2008-2012: Households: Income $10,000 to $14,999","1980: Households: Income $15,000 to $19,999","1990: Households: Income $15,000 to $19,999","2000: Households: Income $15,000 to $19,999","2008-2012: Households: Income $15,000 to $19,999","Margin of error: 2008-2012: Households: Income $15,000 to $19,999","1980: Households: Income $20,000 to $24,999","1990: Households: Income $20,000 to $24,999","2000: Households: Income $20,000 to $24,999","2008-2012: Households: Income $20,000 to $24,999","Margin of error: 2008-2012: Households: Income $20,000 to $24,999","1980: Households: Income $25,000 to $29,999","1990: Households: Income $25,000 to $29,999","2000: Households: Income $25,000 to $29,999","2008-2012: Households: Income $25,000 to $29,999","Margin of error: 2008-2012: Households: Income $25,000 to $29,999","1980: Households: Income $30,000 to $34,999","1990: Households: Income $30,000 to $34,999","2000: Households: Income $30,000 to $34,999","2008-2012: Households: Income $30,000 to $34,999","Margin of error: 2008-2012: Households: Income $30,000 to $34,999","1980: Households: Income $35,000 to $39,999","1990: Households: Income $35,000 to $39,999","2000: Households: Income $35,000 to $39,999","2008-2012: Households: Income $35,000 to $39,999","Margin of error: 2008-2012: Households: Income $35,000 to $39,999","1980: Households: Income $40,000 to $49,999","1990: Households: Income $40,000 to $49,999","2000: Households: Income $40,000 to $49,999","2008-2012: Households: Income $40,000 to $49,999","Margin of error: 2008-2012: Households: Income $40,000 to $49,999","1980: Households: Income $50,000 to $74,999","1990: Households: Income $50,000 to $74,999","2000: Households: Income $50,000 to $74,999","2008-2012: Households: Income $50,000 to $74,999","Margin of error: 2008-2012: Households: Income $50,000 to $74,999","1980: Households: Income $75,000 or more","1990: Households: Income $75,000 or more","2000: Households: Income $75,000 or more","2008-2012: Households: Income $75,000 or more","Margin of error: 2008-2012: Households: Income $75,000 or more",1970: Housing units: Owner occupied,1980: Housing units: Owner occupied,1990: Housing units: Owner occupied,2000: Housing units: Owner occupied,2010: Housing units: Owner occupied,1970: Housing units: Renter occupied,1980: Housing units: Renter occupied,1990: Housing units: Renter occupied,2000: Housing units: Renter occupied,2010: Housing units: Renter occupied
"G0100010","Alabama","01","010","Autauga County","001","0010",4298,4079,2438,1588,1886,351,7003,11244,15397,21029,25629,1032,767,2117,3026,4972,7629,549,3095,2026,1635,1234,227,1507,1201,945,973,246,1628,1161,929,834,204,1322,977,1074,885,228,1109,860,876,1259,221,691,973,1014,1102,270,374,882,1079,1033,200,287,1347,1855,1717,262,142,1833,3663,3979,413,66,566,2902,6918,551,4867,8136,9422,12929,15248,1929,2061,2404,3074,4973
"G0100030","Alabama","01","010","Baldwin County","003","0030",11419,9822,6386,4197,5111,615,18067,30285,47367,69667,86853,2177,2038,5498,10870,22146,35307,1324,9143,6275,4874,4621,519,4507,3995,3834,3346,463,3888,3924,3480,3970,524,3126,3853,3846,4472,491,2257,3319,3793,4615,585,1441,2750,3795,3480,419,854,2471,3862,4083,488,803,3827,6493,7340,697,473,4521,10908,13657,817,196,2191,10471,23167,1173,13793,21285,29025,44016,53071,3928,5490,8019,11320,20109
"G0100050","Alabama","01","010","Barbour County","005","0050",5943,5230,3403,2442,1914,233,5000,7562,10442,14386,14311,624,861,1300,1857,2068,2757,272,4145,2670,2425,1480,229,1410,1127,1109,1102,181,965,895,803,752,160,677,909,862,630,127,435,756,728,517,122,245,699,603,467,131,116,504,523,536,157,182,633,966,846,168,75,695,1312,1573,192,76,346,1101,1520,207,4305,6049,6490,7612,6556,2509,2326,2728,2797,3264
"G0100070","Alabama","01","010","Bibb County","007","0070",3499,3086,2122,1783,1447,329,3413,5315,7467,10795,12675,805,302,433,476,962,1396,283,2132,1485,1157,732,190,905,739,698,551,169,766,695,552,784,220,578,595,636,502,186,336,439,461,394,126,175,417,515,595,173,124,365,496,305,152,69,452,858,767,216,35,462,1201,1263,255,25,127,809,1493,260,2751,3934,4510,5951,6011,1269,1233,1235,1470,1942
"G0100090","Alabama","01","010","Blount County","009","0090",6974,6967,4330,3726,3446,394,7769,13529,19138,26741,30465,1072,404,1144,1773,3235,4792,439,4980,3149,2377,1627,295,2354,1705,1423,1291,224,1842,1665,1328,1255,218,1391,1472,1291,1404,235,935,1382,1527,1209,250,491,1269,1558,1419,274,312,912,1222,1102,225,227,1276,2184,2153,330,140,1327,3806,4357,417,22,459,2437,5214,465,6230,10308,11972,16075,17384,2212,2374,2672,3190,4194
"G0100110","Alabama","01","010","Bullock County","011","0110",3164,2257,1608,1145,957,281,2344,3114,4443,5839,5718,598,314,516,676,586,900,229,1961,1402,1158,659,174,604,501,474,159,79,285,450,305,259,123,228,320,353,342,178,168,246,250,252,89,84,260,247,213,84,35,92,239,236,94,32,211,287,369,162,57,197,407,583,211,27,76,273,668,197,1889,2507,2729,2969,2576,1447,948,1058,1017,1169
"G0100130","Alabama","01","010","Butler County","013","0130",5942,4422,3074,1747,1151,199,5369,7158,9333,10587,11118,507,541,1029,1083,1433,1812,251,3661,2765,1809,1311,190,1365,1031,840,789,174,1000,683,791,777,142,599,785,786,605,125,317,714,554,514,124,152,511,586,472,130,82,372,457,422,119,98,454,764,849,164,120,454,1015,1167,164,59,125,784,1243,189,4185,5315,5788,6403,5967,2484,2156,2147,1995,2524
"G0100150","Alabama","01","010","Calhoun County","015","0150",18481,15595,9386,6158,5960,528,29681,42533,52793,56592,59799,1487,3921,7213,10266,11265,12544,755,14810,8911,6730,5421,477,6852,4816,4043,3376,406,6198,4321,3704,3650,377,4319,4283,3632,2649,317,3297,4296,3326,2694,372,1792,3783,3156,2443,300,1062,2838,3007,2602,367,879,4119,4853,4521,455,465,4055,7386,8368,600,135,1384,5543,10040,620,20564,27522,30222,32856,32552,10093,12129,12761,12451,14779
"G0100170","Alabama","01","010","Chambers County","017","0170",8728,7237,4506,3057,1816,268,10631,14161,17074,19101,19201,784,847,1710,2101,2339,2604,289,5595,3421,2496,1774,240,2269,1674,1339,1492,261,2029,1433,1310,1181,217,1477,1374,1111,960,167,1029,1168,1085,918,179,585,1014,965,1049,194,235,906,957,661,151,215,1443,1792,1250,198,128,1018,2302,2159,256,43,409,1188,2190,300,7750,10102,10472,10994,9843,3458,3418,3314,3528,4090
